created_at,product,amount
2024-07-24 09:04:29.482129,KIR-FLUIDMATIC DIII MV 500ML,300
2024-07-24 09:04:52.632395,KIR-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-17 08:50:21.714267,SEK-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-07 17:09:15.312598,MSE-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-14 19:34:47.410095,MAR-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-07 17:07:34.137628,SAE40 500ML,300
2024-07-07 17:09:49.870391,MSE-QUARTZ 5000 20W50 500ML,600
2024-07-07 17:52:40.641561,BRAKE FLUID 500ML,400
2024-07-07 18:21:12.175590,MAR-RUBIA SX SAE40 500ML,1200
2024-07-22 17:30:52.046220,KIR-RUBIA SX SAE40 500ML,600
2024-07-22 17:35:06.577248,CHI-RUBIA TIR 7400 15W40 500ML,300
2024-07-11 23:25:53.812370,ROA-FLUIDMATIC CVT MV 1L,1000
2024-07-19 11:43:49.048124,SAE40 500ML,300
2024-07-22 17:27:07.128050,RUN-QUARTZ 4X4 15W40 500ML,300
2024-07-22 17:34:25.928500,CHI-RUBIA TIR 7400 15W40 500ML,300
2024-07-17 09:29:46.626411,TUR-QUARTZ 3000 SG 20W50 500ML,600
2024-07-07 19:25:40.252421,CHI-QUARTZ 3000 SG 20W50 500ML,300
2024-07-07 19:25:40.224888,CHI-QUARTZ 3000 SG 20W50 500ML,300
2024-07-07 19:33:25.955874,ROA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-07 19:37:18.120632,MAR-FLUIDMATIC CVT MV 1L,1000
2024-07-14 20:51:56.544365,MAR-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-22 18:09:17.356058,CHI-RUBIA TIR 7400 15W40 500ML,300
2024-07-14 21:08:02.038357,CHA-QUARTZ 3000 SG 20W50 500ML,9000
2024-07-17 09:56:41.143884,SUN-QUARTZ 9000 SAE 5W40 500ML,1000
2024-07-07 20:25:48.193180,SUN-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-22 18:03:02.864352,SAM-RUBIA TIR 7400 15W40 500ML,300
2024-07-22 18:11:14.871749,CHI-RUBIA TIR 7400 15W40 500ML,300
2024-07-17 10:23:34.711964,SEK-QUARTZ 9000 SAE 5W40 5L,3000
2024-07-14 22:11:01.783995,FOR-FLUIDMATIC CVT MV 1L,1000
2024-07-14 22:12:28.527504,ATF 500ML,300
2024-07-17 10:29:16.208583,SEK-RUBIA SX SAE40 500ML,400
2024-07-21 07:04:41.949424,SEK-QUARTZ 4X4 15W40 500ML,1200
2024-07-21 07:05:15.189091,SEK-QUARTZ 4X4 15W40 5L,2500
2024-07-17 10:29:59.907288,SEK-RUBIA SX SAE40 500ML,400
2024-07-21 07:13:32.851668,CHA-QUARTZ 5000 20W50 500ML,300
2024-07-21 07:19:50.275539,MGM-QUARTZ 5000 20W50 5L,2200
2024-07-12 05:59:46.245802,SAM-FLUIDMATIC CVT MV 1L,1000
2024-07-24 09:29:36.204981,SUN-QUARTZ 5000 20W50 500ML,600
2024-07-24 09:29:36.218344,SUN-RUBIA SX SAE40 500ML,600
2024-07-08 04:55:32.879601,CHA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-14 22:51:56.214839,CHI-FLUIDMATIC DIII MV 500ML,300
2024-07-08 05:35:42.270933,CHE-QUARTZ 3000 SG 20W50 5L,2500
2024-07-17 11:09:59.194255,SAM-RUBIA TIR 7400 15W40 500ML,600
2024-07-19 12:54:31.710519,MGM-RUBIA SX SAE40 500ML,600
2024-07-17 11:30:19.492019,TUR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-08 07:05:34.071687,KIR-QUARTZ 3000 SG 20W50 500ML,1200
2024-07-17 11:52:42.262277,FIF-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-12 07:56:40.768621,CHI-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-08 07:35:37.316292,AVO-QUARTZ 5000 20W50 500ML,600
2024-07-08 07:44:58.186660,15W40 500ML,600
2024-07-24 09:37:55.027006,KHA-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-17 13:28:34.666960,SUN-QUARTZ 9000 SAE 5W40 500ML,1000
2024-07-08 08:35:26.096822,GWE-RUBIA SX SAE40 500ML,300
2024-07-19 13:15:22.238817,MGM-RUBIA TIR 7400 SAE 15W40 5L,2500
2024-07-08 09:28:35.350703,TUR-RUBIA TIR 7400 15W40 500ML,1200
2024-07-15 07:21:40.914576,SAM-RUBIA TIR 7400 15W40 500ML,600
2024-07-15 07:21:40.928834,KHA-QUARTZ 5000 20W50 500ML,300
2024-07-15 07:22:13.506387,SAM-RUBIA SX SAE40 500ML,300
2024-07-17 14:09:06.306418,MAR-RUBIA SX SAE40 500ML,300
2024-07-17 14:28:48.271835,SEK-RUBIA SX SAE40 500ML,400
2024-07-21 09:02:21.813910,TUR-FLUIDMATIC DIII MV 500ML,300
2024-07-22 19:42:06.733000,CHE-QUARTZ 4X4 15W40 500ML,300
2024-07-12 10:09:26.622312,FIF-RUBIA SX SAE40 500ML,600
2024-07-17 14:34:30.065607,CHI-QUARTZ 3000 SG 20W50 500ML,300
2024-07-21 09:20:07.952266,TUR-NEPTUNA 2T SUPER SPORT 500ML,400
2024-07-12 10:25:57.827909,MAR-FLUIDMATIC DIII MV 500ML,300
2024-07-12 10:26:08.630093,SEK-FLUIDMATIC DIII MV 500ML,300
2024-07-17 14:41:28.801634,SUN-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-17 14:42:23.944737,SUN-RUBIA TIR 7400 15W40 500ML,600
2024-07-08 11:42:02.890143,SAE40 500ML,400
2024-07-19 14:04:21.183307,5W40 500ML,500
2024-07-19 14:07:17.457222,20W50 5LTRS,1800
2024-07-17 15:51:51.570233,MGM-FLUIDMATIC DIII MV 500ML,300
2024-07-17 15:52:24.841179,MGM-RUBIA TIR 7400 15W40 500ML,300
2024-07-19 14:12:50.788128,KIR-RUBIA TIR 7400 15W40 500ML,300
2024-07-21 10:06:15.557500,SUN-FLUIDMATIC DIII MV 500ML,300
2024-05-24 16:39:02.177413,5W40 5LTRS,2000
2024-07-12 11:24:30.067281,MAR-RUBIA TIR 7400 15W40 500ML,600
2024-08-07 11:11:37.568916,CVT 1LTR,1000
2024-07-12 11:33:08.129823,SEK-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-17 16:02:30.322200,BAN-RACE BRAKEFLUID DOT4+ 500ML,1200
2024-07-21 10:11:59.049677,AVO-RACE BRAKEFLUID DOT4+ 500ML,600
2024-07-12 11:37:16.204297,TUR-FLUIDMATIC DIII MV 500ML,300
