created_at,description,product,amount
2025-07-14 09:41:58,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,24.65
2025-07-14 09:43:12,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,1.2
2025-07-14 09:43:56,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,31.57
2025-07-14 10:10:30,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,44.6
2025-07-14 10:16:10,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.0
2025-07-14 14:33:21,SALE : RUN-QUARTZ 5000 20W50 500ML : RUNIVILLE,RUN-QUARTZ 5000 20W50 500ML,3.0
2025-07-14 15:52:23,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,32.93
2025-07-14 17:06:56,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.5
2025-07-15 14:15:38,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.0
2025-07-15 15:15:54,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,29.0
2025-07-15 15:47:28,SALE : RUN-RUBIA SX SAE40 500ML : RUNIVILLE,RUN-RUBIA SX SAE40 500ML,3.0
2025-07-16 10:10:52,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,8.7
2025-07-16 11:13:16,SALE : MSA-RUBIA SX SAE40 500ML : MSASA,MSA-RUBIA SX SAE40 500ML,3.0
2025-07-17 08:02:51,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,14.1
2025-07-17 11:38:42,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,40.31
2025-07-17 11:44:47,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,37.79
2025-07-17 11:48:05,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,12.04
2025-07-17 15:00:27,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,1.19
2025-07-17 16:04:09,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,11.65
2025-07-18 07:05:16,SALE : MSA-RUBIA SX SAE40 500ML : MSASA,MSA-RUBIA SX SAE40 500ML,3.0
2025-07-18 12:32:44,SALE : MSA-QUARTZ 9000 SAE 5W40 500ML : MSASA,MSA-QUARTZ 9000 SAE 5W40 500ML,5.0
2025-07-18 12:41:53,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,40.56
2025-07-19 12:34:40,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,6.6
2025-07-20 09:01:47,SALE : MSA-FLUIDMATIC DIII MV 500ML : MSASA,MSA-FLUIDMATIC DIII MV 500ML,6.0
2025-07-20 17:07:46,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,1.0
2025-07-21 10:09:57,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.4
2025-07-21 12:05:13,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,23.15
2025-07-21 16:16:58,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,61.11
2025-07-22 08:32:58,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,10.0
2025-07-22 09:12:04,SALE : MSA-QUARTZ 9000 SAE 5W40 500ML : MSASA,MSA-QUARTZ 9000 SAE 5W40 500ML,5.0
