sale_date,site_id,site_name,product,total_litres,total_amount
2023-12-31,98,Roadport,ROADPORT USD DIESEL,477.7023809523809,802.54
2024-11-28,121,Gweru,GWERU BULK DIESEL USD,1200.0,1740.0
2024-10-31,114,Kadoma,KAD-RUBIA TIR 7400 15W40 500ML,1.0,3.0
2024-07-16,88,Seke,SEK-FLUIDMATIC DIII MV 500ML,1.0,3.0
2024-07-15,146,Banket,BANKET USD DIESEL,394.73684210526324,600.0
2024-04-08,123,Fife Street,FIFE USD DIESEL,1225.974025974026,1888.0
2024-09-20,141,Troutbeck,TROUTBECK USD PETROL,1869.1275167785234,2785.0
2024-04-16,147,Chinhoyi Main,CHINHOYI MAIN USD DIESEL,1456.7741935483873,2258.0
2024-09-23,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,1859.731543624161,2771.0
2024-07-05,147,Chinhoyi Main,CHI-RACE BRAKEFLUID DOT4+ 500ML,3.0,12.0
2024-06-15,110,Mutare Green Market,MUTARE GREEN MARKET BULK DIESEL,724.0,1086.0
2024-04-25,145,Sunway City,SUNWAY USD UNLEADED PETROL,2725.625,4361.0
2024-10-26,92,Msasa,MSASA USD PETROL,838.255033557047,1249.0
2024-06-15,146,Banket,BANKET USD DIESEL,644.7368421052631,980.0
2024-06-26,98,Roadport,ROA-QUARTZ 3000 SG 20W50 5L,1.0,18.0
2024-01-18,123,Fife Street,FIFE USD PETROL,927.0967741935483,1437.0
2024-08-23,135,Cripps,CRIPPS PETROL USD,637.9310344827586,925.0
2024-07-31,140,Mutare Second Street,MUTARE SECOND USD PETROL,54.79452054794521,80.0
2025-02-18,114,Kadoma,KADOMA USD DIESEL,900.6944444444445,1297.0
2024-01-07,92,Msasa,MSASA USD DIESEL,426.50632911392404,673.88
2024-11-04,88,Seke,SEKE DIESEL BULK,517.2413793103449,750.0
