sale_date,site_id,site_name,product,total_litres,total_amount
2023-04-29,AVONDALE,AVONDALE,AVONDALE USD DIESEL,106.27,173.84
2025-05-22,MARONDERA,MARONDERA,MARONDERA USD PETROL,169.44,243.36
2023-12-30,KADOMA,KADOMA,KADOMA USD DIESEL,30.0,49.2
2025-10-02,R MUGABE,R MUGABE,R MUGABE USD PETROL,39.46,59.28
2024-06-10,SUNWAY CITY,SUNWAY CITY,SUNWAY USD DIESEL,712.0,1068.0
2023-11-06,AVONDALE,AVONDALE,AVONDALE USD PETROL,217.95,351.54
2023-08-29,AVONDALE,AVONDALE,AVONDALE USD DIESEL,76.67,125.4
2023-08-07,FIFE STREET,FIFE STREET,FIFE USD DIESEL,269.87,425.02
2023-05-03,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,230.76,363.4
2023-11-30,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,77.42,119.35
2025-01-18,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,69.95,103.5
2024-04-14,SEKE,SEKE,SEKE USD DIESEL,130.0,195.0
2024-07-26,TROUTBECK,TROUTBECK,TROUTBECK USD PETROL,96.64,143.04
2025-10-10,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,13.25,19.63
2024-10-13,BANKET,BANKET,BANKET USD PETROL,4.72,5.92
2024-02-23,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,96.77,157.44
2024-05-17,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,44.0,66.0
2024-08-24,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,40.54,59.2
2025-05-15,BANKET,BANKET,BANKET USD PETROL,142.47,217.26
2023-09-19,MSASA,MSASA,MSASA USD PETROL,91.19,144.69
2024-05-17,SEKE,SEKE,SEKE USD PETROL,28.37,41.44
2024-06-11,FIFE STREET,FIFE STREET,FIFE USD PETROL,61.48,90.28
2024-07-31,ROADPORT,ROADPORT,ROAPORT USD PETROL,66.33,98.34
2025-05-05,MARONDERA,MARONDERA,MARONDERA USD PETROL,138.88,198.72
2025-12-03,GWERU,GWERU,GWERU USD PETROL,93.46,142.29
2024-06-21,FORT STREET,FORT STREET,FORT USD PETROL,60.81,88.8
2025-10-24,ROADPORT,ROADPORT,ROAPORT USD PETROL,176.46,271.04
2025-04-28,R MUGABE,R MUGABE,R MUGABE USD PETROL,61.48,90.28
2024-03-21,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,41.05,64.37
2024-06-04,MSASA,MSASA,MSASA USD PETROL,183.44,276.33
2025-01-21,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,41.33,61.5
2025-05-13,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,124.66,186.0
2025-02-20,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,16.55,24.16
2024-10-09,BANKET,BANKET,BANKET USD PETROL,216.89,319.68
2024-02-10,FIFE STREET,FIFE STREET,FIFE USD PETROL,314.07,486.7
2024-05-15,RUNIVILLE,RUNIVILLE,RUNIVILLE USD DIESEL,73.61,118.99
2024-08-17,KHAMI,KHAMI,KHAMI USD DIESEL,128.37,189.44
2024-12-24,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,23.48,34.27
2023-10-30,AVONDALE,AVONDALE,AVONDALE USD PETROL,161.72,260.82
2025-08-04,KADOMA,KADOMA,KADOMA USD DIESEL,35.2,51.8
2024-07-02,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,31.45,49.29
2023-12-29,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,26.32,39.52
2025-01-17,R MUGABE,R MUGABE,R MUGABE USD PETROL,89.09,133.5
2024-11-21,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,6.71,8.94
2025-05-30,CRIPPS,CRIPPS,CRIPPS DIESEL USD,69.44,99.36
2024-03-29,CHEGUTU,CHEGUTU,CHEGUTU USD PETROL,65.36,99.45
2025-11-22,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,255.76,392.7
2023-08-23,AVONDALE,AVONDALE,AVONDALE USD PETROL,222.98,357.42
2023-12-08,CRIPPS,CRIPPS,CRIPPS PETROL USD,14.87,20.72
2025-03-23,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,700.0,1022.0
2024-04-02,MUTARE SECOND STREET,MUTARE SECOND STREET,MUTARE SECOND USD PETROL,27.03,39.96
2024-08-28,MARONDERA,MARONDERA,MARONDERA USD PETROL,247.0,350.74
2024-11-27,MARONDERA,MARONDERA,MARONDERA USD DIESEL,467.84,658.47
2023-01-19,ROADPORT,ROADPORT,ROAPORT USD PETROL,75.81,1167474.0
2024-08-26,GWERU,GWERU,GWERU USD PETROL,94.66,141.0
2025-01-13,R MUGABE,R MUGABE,R MUGABE USD DIESEL,104.74,158.08
2023-09-13,FIFE STREET,FIFE STREET,FIFE USD PETROL,80.37,126.4
2024-07-21,KHAMI,KHAMI,KHAMI USD PETROL,39.72,56.94
2024-08-05,FORT STREET,FORT STREET,FORT USD DIESEL,26.67,39.0
2025-02-01,FIFE STREET,FIFE STREET,FIFE USD PETROL,341.89,504.68
2024-06-18,AVONDALE,AVONDALE,AVONDALE USD PETROL,180.0,277.2
2024-01-18,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,6.29,9.54
2025-04-26,FIFE STREET,FIFE STREET,FIFE USD PETROL,149.32,220.52
2024-10-27,MARONDERA,MARONDERA,MARONDERA USD PETROL,543.15,765.63
2025-06-17,BANKET,BANKET,BANKET USD PETROL,50.33,74.5
2025-04-05,CHEGUTU,CHEGUTU,CHEGUTU USD PETROL,163.69,237.98
2025-06-12,KADOMA,KADOMA,KADOMA USD PETROL,13.79,18.85
2024-12-04,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,150.8,222.0
2024-09-05,KHAMI,KHAMI,KHAMI USD PETROL,34.72,48.96
2025-09-21,ROADPORT,ROADPORT,ROADPORT USD DIESEL,19.73,28.88
2025-11-24,FIFE STREET,FIFE STREET,FIFE USD PETROL,268.17,411.18
2025-10-31,R MUGABE,R MUGABE,R MUGABE USD PETROL,13.15,19.76
2024-03-26,FIFE STREET,FIFE STREET,FIFE USD DIESEL,72.72,110.88
2023-08-10,FIFE STREET,FIFE STREET,FIFE USD PETROL,142.32,217.26
2025-02-14,KHAMI,KHAMI,KHAMI USD DIESEL,78.08,113.88
2024-07-02,SUNWAY CITY,SUNWAY CITY,SUNWAY USD DIESEL,100.0,150.0
2025-07-02,CRIPPS,CRIPPS,CRIPPS PETROL USD,33.78,48.84
2023-04-25,R MUGABE,R MUGABE,R MUGABE USD PETROL,19.35,29.45
2024-02-01,MARONDERA,MARONDERA,MARONDERA USD DIESEL,98.04,149.94
