created_at_local,product,amount,quantity
2025-09-28 15:46:22.793067,TRO-RUBIA SX SAE40 500ML,6,2.0
2025-09-28 15:46:22.978445,TRO-QUARTZ 5000 20W50 5L,22,1.0
2025-09-28 15:46:23.173859,TRO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-28 16:32:58.393219,BAN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-28 17:35:02.602135,TUR-QUARTZ 4X4 15W40 500ML,9,3.0
2025-09-28 19:10:16.151868,TUR-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-30 22:50:37.740610,GWE-FLUIDMATIC DIII MV 500ML,3,1.0
2025-10-01 07:51:26.156302,MPO-RUBIA TIR 7400 SAE 15W40 5L,50,2.0
2025-10-01 07:53:36.560370,MPO-RUBIA SX SAE40 500ML,6,2.0
2025-10-01 07:53:58.621360,MPO-QUARTZ 5000 20W50 500ML,12,4.0
2025-10-01 07:54:20.487037,MPO-FLUIDMATIC DIII MV 500ML,3,1.0
2025-10-01 07:54:53.614638,MPO-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-10-01 07:55:17.622394,MPO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-10-01 10:01:08.118352,KHA-QUARTZ 5000 20W50 5L,22,1.0
2025-10-01 10:01:08.330075,KHA-QUARTZ 5000 20W50 5L,44,2.0
2025-10-01 10:42:38.982203,RUN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-10-01 11:15:58.406652,TUR-QUARTZ 4X4 15W40 500ML,3,1.0
2025-10-01 11:16:53.147755,TUR-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-10-01 11:17:36.555392,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-10-01 11:36:34.501374,FOR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-10-01 12:29:21.000365,RM-MULTIS EP 2 500G,7,1.0
2025-10-01 12:30:37.681386,RM-RACE BRAKEFLUID DOT4+ 500ML,8,2.0
2025-10-01 12:32:04.245466,RM-QUARTZ 5000 20W50 500ML,6,2.0
2025-10-01 12:34:05.066859,RM-RUBIA SX SAE40 500ML,3,1.0
2025-10-01 13:14:31.625755,BAN-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-10-01 17:40:55.028373,KIR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-10-01 18:16:31.830129,GWE-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-10-01 18:23:32.581437,RM-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-10-01 18:34:27.087802,FOR-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-10-01 18:34:27.271643,FOR-QUARTZ 4X4 15W40 500ML,3,1.0
2025-10-01 18:34:27.456722,FOR-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-10-01 19:51:40.054305,GWE-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-02 15:04:11.973501,KHA-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-02 15:20:49.763023,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-02 17:12:22.678569,BAN-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-02 17:26:33.969774,KHA-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-02 17:29:05.984952,KHA-RUBIA SX SAE40 500ML,3,1.0
2025-09-02 17:44:47.263252,KAD-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-02 17:51:49.924075,CHA-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-02 18:52:16.546101,GWE-QUARTZ 3000 SG 20W50 500ML,3,1.0
2025-09-02 19:38:43.679344,KAD-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-02 20:16:01.208046,TUR-QUARTZ 4X4 15W40 500ML,3,1.0
2025-09-02 20:24:18.450663,TRO-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-02 21:39:47.921846,KAD-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-03 00:44:32.644038,CHE-QUARTZ 9000 SAE 5W40 500ML,15,3.0
2025-09-03 00:44:54.273338,CHE-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-03 00:45:16.437443,CHE-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-03 00:45:49.710226,CHE-RUBIA SX SAE40 500ML,3,1.0
2025-09-03 09:58:36.341562,TUR-RUBIA SX SAE40 500ML,6,2.0
2025-09-03 12:26:44.701694,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-03 12:27:49.927021,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-03 12:28:01.087158,BAN-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-03 13:17:51.898038,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-05 18:03:20.282112,SUN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-05 18:03:20.464324,SUN-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-05 19:15:56.959242,MSA-RACE BRAKEFLUID DOT4+ 500ML,8,2.0
2025-09-05 19:17:15.261597,MSA-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-05 19:27:19.175180,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-05 20:38:34.475433,TRO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-05 21:17:45.957284,MSA-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-05 22:06:05.357679,KIR-QUARTZ 4X4 15W40 500ML,9,3.0
2025-09-05 23:01:45.774119,CHI-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-05 23:43:33.188553,SUN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-06 10:11:40.158567,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-06 11:32:41.881161,CHI-QUARTZ 5000 20W50 500ML,6,2.0
2025-09-06 11:43:12.446151,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-06 12:06:43.842044,KIR-RACE BRAKEFLUID DOT4+ 500ML,8,2.0
2025-09-06 13:28:58.365736,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-06 13:28:58.548676,TUR-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-06 13:46:29.310527,TUR-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-06 14:00:35.951757,KAD-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-06 14:18:39.479654,TUR-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-06 14:19:01.211330,TUR-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-06 14:53:41.662643,BAN-RUBIA SX SAE40 500ML,3,1.0
2025-09-06 15:31:55.381379,BAN-RUBIA SX SAE40 500ML,3,1.0
2025-09-08 16:47:09.949188,KHA-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-08 16:48:49.311273,KHA-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-08 16:49:33.687873,KHA-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-08 16:50:28.968697,KHA-QUARTZ 9000 SAE 5W40 500ML,15,3.0
2025-09-08 16:52:30.212866,KHA-RUBIA SX SAE40 500ML,3,1.0
2025-09-08 18:21:43.067337,TUR-RUBIA SX SAE40 500ML,6,2.0
2025-09-08 18:31:30.681996,RM-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-08 19:14:10.882525,KIR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-08 19:59:41.917053,AVO-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-08 20:00:05.062800,AVO-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-08 21:43:50.594602,FOR-FLUIDMATIC CVT MV 1L,10,1.0
2025-09-08 21:43:51.033801,FOR-QUARTZ 4X4 15W40 500ML,6,2.0
2025-09-08 22:34:52.234557,SEK-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-09 07:35:00.167307,RM-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-09 09:48:06.223011,GWE-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-09 10:07:14.039720,BAN-QUARTZ 4X4 15W40 500ML,6,2.0
2025-09-09 10:42:43.798848,GWE-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-09 10:44:22.194919,AVO-RUBIA SX SAE40 500ML,3,1.0
2025-09-09 11:54:33.710828,AVO-RUBIA SX SAE40 500ML,3,1.0
2025-09-09 11:56:49.345126,AVO-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-09 12:01:50.264650,AVO-RUBIA SX SAE40 500ML,9,3.0
2025-09-09 12:02:12.958015,AVO-QUARTZ 3000 SG 20W50 500ML,6,2.0
2025-09-09 12:02:35.020795,AVO-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-09 12:36:00.134486,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-09 12:36:22.468119,FOR-RUBIA SX SAE40 500ML,3,1.0
2025-09-09 12:59:48.649969,BAN-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-09 13:02:35.004941,TUR-QUARTZ 5000 20W50 5L,22,1.0
2025-09-09 13:03:19.434926,TUR-FLUIDMATIC DIII MV 500ML,24,8.0
2025-09-09 13:40:58.581993,RUN-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-09 14:35:21.962003,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-11 13:26:55.506687,SAM-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-11 15:02:02.772039,KIR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-11 15:05:51.787468,FOR-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-11 15:06:48.052757,FOR-RACE BRAKEFLUID DOT4+ 500ML,8,2.0
2025-09-11 17:07:50.592847,KIR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
